customer_id,age,job,marital,education,balance,housing_loan,personal_loan,last_contact_month,call_duration_sec,num_campaigns,prev_outcome,deposit_probability,predicted_class,deposit_tier,cluster_id,cluster_label,recommended_action,reasoning
8991,44,technician,single,secondary,54,no,yes,aug,199,2,unknown,0.0937,0,low,0,High-Value Engaged,Nurture — Premium Content,Affluent and engaged but not ready now. Maintain the relationship through tailored financial education content; re-score in 90 days.
9277,35,technician,single,secondary,-54,yes,no,may,70,2,unknown,0.0525,0,low,0,High-Value Engaged,Nurture — Premium Content,Affluent and engaged but not ready now. Maintain the relationship through tailored financial education content; re-score in 90 days.
9271,55,management,divorced,tertiary,668,no,no,aug,25,6,unknown,0.0692,0,low,0,High-Value Engaged,Nurture — Premium Content,Affluent and engaged but not ready now. Maintain the relationship through tailored financial education content; re-score in 90 days.
6653,34,management,married,tertiary,577,yes,no,apr,243,2,failure,0.4085,0,medium,0,High-Value Engaged,Personalised Savings Consultation,Affluent and engaged but undecided. A one-to-one consultation on long-term financial goals is likely to convert.
8033,37,self-employed,married,primary,0,no,no,may,112,4,unknown,0.0103,0,low,0,High-Value Engaged,Nurture — Premium Content,Affluent and engaged but not ready now. Maintain the relationship through tailored financial education content; re-score in 90 days.
774,37,technician,single,secondary,-242,yes,no,aug,1149,6,unknown,0.8411,1,high,0,High-Value Engaged,Premium Savings Offer,High conversion likelihood + above-average balance + engaged call history. Offer a tailored premium savings product with personal advisor support.
1335,61,management,married,tertiary,997,no,no,mar,106,1,unknown,0.6697,1,medium,0,High-Value Engaged,Personalised Savings Consultation,Affluent and engaged but undecided. A one-to-one consultation on long-term financial goals is likely to convert.
1065,47,technician,married,secondary,834,no,yes,nov,902,1,other,0.731,1,high,0,High-Value Engaged,Premium Savings Offer,High conversion likelihood + above-average balance + engaged call history. Offer a tailored premium savings product with personal advisor support.
6701,60,admin.,married,primary,-444,no,yes,jul,227,1,unknown,0.1646,0,low,0,High-Value Engaged,Nurture — Premium Content,Affluent and engaged but not ready now. Maintain the relationship through tailored financial education content; re-score in 90 days.
647,55,housemaid,divorced,primary,77,no,no,jul,463,6,unknown,0.5685,1,medium,0,High-Value Engaged,Personalised Savings Consultation,Affluent and engaged but undecided. A one-to-one consultation on long-term financial goals is likely to convert.
1022,36,management,single,tertiary,2032,no,yes,nov,736,1,unknown,0.714,1,high,0,High-Value Engaged,Premium Savings Offer,High conversion likelihood + above-average balance + engaged call history. Offer a tailored premium savings product with personal advisor support.
156,26,technician,single,secondary,668,yes,no,may,576,3,unknown,0.5548,1,medium,0,High-Value Engaged,Personalised Savings Consultation,Affluent and engaged but undecided. A one-to-one consultation on long-term financial goals is likely to convert.
4502,30,management,single,tertiary,5359,no,no,may,119,1,success,0.6509,1,medium,0,High-Value Engaged,Personalised Savings Consultation,Affluent and engaged but undecided. A one-to-one consultation on long-term financial goals is likely to convert.
10602,52,blue-collar,married,secondary,665,yes,no,may,57,4,unknown,0.0146,0,low,0,High-Value Engaged,Nurture — Premium Content,Affluent and engaged but not ready now. Maintain the relationship through tailored financial education content; re-score in 90 days.
4922,39,management,married,secondary,11835,yes,no,aug,744,2,unknown,0.8078,1,high,0,High-Value Engaged,Premium Savings Offer,High conversion likelihood + above-average balance + engaged call history. Offer a tailored premium savings product with personal advisor support.
3426,22,student,single,primary,3472,no,no,apr,529,1,success,0.9482,1,high,0,High-Value Engaged,Premium Savings Offer,High conversion likelihood + above-average balance + engaged call history. Offer a tailored premium savings product with personal advisor support.
3553,52,admin.,single,secondary,726,yes,no,may,699,1,failure,0.8248,1,high,0,High-Value Engaged,Premium Savings Offer,High conversion likelihood + above-average balance + engaged call history. Offer a tailored premium savings product with personal advisor support.
8922,38,technician,married,secondary,2767,yes,no,nov,711,2,unknown,0.8726,1,high,0,High-Value Engaged,Premium Savings Offer,High conversion likelihood + above-average balance + engaged call history. Offer a tailored premium savings product with personal advisor support.
5224,55,management,divorced,tertiary,9756,yes,no,jun,103,2,other,0.4858,1,medium,0,High-Value Engaged,Personalised Savings Consultation,Affluent and engaged but undecided. A one-to-one consultation on long-term financial goals is likely to convert.
5945,33,blue-collar,single,secondary,1387,no,no,feb,185,1,unknown,0.4474,1,medium,0,High-Value Engaged,Personalised Savings Consultation,Affluent and engaged but undecided. A one-to-one consultation on long-term financial goals is likely to convert.
